0 1
1 2773.65 400
1 2446.42 400
1 3073.65 1000
1 2946.63 1000
1 2651.35 1000
1 5332.48 1200
1 1873.66 1500
1 1846.63 1500
1 4632.94 1800
1 948.626 1900
1 646.417 1900
1 4032.48 2000
1 5173.65 2000
1 5047.03 2000
1 873.656 2500
1 1173.66 2500
1 1046.63 2500
1 2948.63 2500
1 2646.42 2500
2 3400 400
2 400 500
2 1600 1000
2 100 1100
2 3700 1500
2 4400 1700
2 3000 1900
2 500 2500
3 1850 100 3
3 3700 530 2
3 150 600 3
3 150 700 3
3 5050 800 3
3 1800 1130 2
3 3600 1130 1
3 4700 1330 2
3 900 1530 1
3 2700 1550 3
3 3200 1550 3
3 5350 1800 3
3 50 1900 3
3 1600 1930 2
3 2800 2030 2
3 250 2200 3
3 3800 2530 2
4 3700 300
4 4300 300
4 3600 400
4 3800 400
4 3900 400
4 4000 400
4 4100 400
4 4200 400
4 4400 400
4 4500 400
4 300 500
4 300 600
4 300 700
4 300 800
4 4100 800
4 3600 900
4 4000 900
4 4200 900
4 3400 1000
4 3500 1000
4 3700 1000
4 3800 1000
4 3900 1000
4 200 1100
4 300 1100
4 400 1100
4 4700 1100
4 4600 1200
4 4800 1200
4 4900 1200
4 5000 1200
4 2700 1300
4 3200 1300
4 2600 1400
4 2800 1400
4 3100 1400
4 3300 1400
4 3300 1500
4 3400 1500
4 3500 1500
4 3600 1500
4 2300 1700
4 4000 1700
4 4100 1700
4 4200 1700
4 4300 1700
4 2200 1800
4 2400 1800
4 3400 1800
4 5200 1800
4 200 1900
4 3300 1900
4 3500 1900
4 5200 1900
4 200 2000
4 4400 2000
4 4500 2000
4 4600 2000
4 5200 2000
4 100 2100
4 100 2200
4 2000 2200
4 2200 2200
4 2300 2200
4 2400 2200
4 2500 2200
4 2600 2200
4 2700 2200
4 2800 2200
4 100 2300
4 1400 2300
4 1500 2300
4 3200 2300
4 3300 2300
4 3400 2300
4 3800 2300
4 4300 2300
4 3700 2400
4 3900 2400
4 4200 2400
4 4400 2400
4 2000 2500
4 2100 2500
4 2200 2500
4 2300 2500
4 2400 2500
4 2500 2500
4 4600 2500
4 4700 2500
4 4800 2500
4 4900 2500
4 5000 2500
4 5100 2500
5 5200 400
5 1000 500
5 2300 1000
5 5400 1200
5 2400 1500
5 5100 1700
5 1000 1900
5 3700 1900
5 2100 2200
5 3600 2400
5 600 2500
6 0 7 1043.66 -194.892
